egi_location,bp_location
'E2','AF8'
'E3','AF4'
'E4','F2'
'Fp2','Fp2'
'Fz','Fz'
'E15','Fpz'
'Fp1','Fp1'
'E23','AF3'
'F3','F3'
'E26','AF7'
'E27','F5'
'E28','FC3'
'F7','F7'
'E34','FC5'
'C3','C3'
'E39','FT7'
'E40','C5'
'E42','CP3'
'T7','T7'
'E46','CP5'
'E51','P5'
'E53','CP1'
'E55','CPz'
'P7','P7'
'E59','P3'
'E60','P1'
'E65','PO7'
'E66','PO3'
'O1','O1'
'E72','POz'
'Oz','Oz'
'E84','PO4'
'E85','P2'
'E90','PO8'
'E91','P4'
'E93','CP4'
'P8','P8'
'E97','P6'
'E101','TP8'
'E102','CP6'
'C4','C4'
'E105','C2'
'T8','T8'
'E109','C6'
'E112','FC2'
'E115','FT8'
'E116','FC6'
'E117','FC4'
'F8','F8'
'E123','F6'
'F4','F4'
'Cz','Cz'
